id,nome,email,pais
u1,Jogador 1,jogador1@exemplo.com,ES
u2,Jogador 2,jogador2@exemplo.com,FR
u3,Jogador 3,jogador3@exemplo.com,PT
u4,Jogador 4,jogador4@exemplo.com,ES
u5,Jogador 5,jogador5@exemplo.com,FR
u6,Jogador 6,jogador6@exemplo.com,ES
u7,Jogador 7,jogador7@exemplo.com,FR
u8,Jogador 8,jogador8@exemplo.com,AR
u9,Jogador 9,jogador9@exemplo.com,AR
u10,Jogador 10,jogador10@exemplo.com,FR
u11,Jogador 11,jogador11@exemplo.com,BR
u12,Jogador 12,jogador12@exemplo.com,FR
u13,Jogador 13,jogador13@exemplo.com,ES
u14,Jogador 14,jogador14@exemplo.com,FR
u15,Jogador 15,jogador15@exemplo.com,PT
u16,Jogador 16,jogador16@exemplo.com,BR
u17,Jogador 17,jogador17@exemplo.com,FR
u18,Jogador 18,jogador18@exemplo.com,BR
u19,Jogador 19,jogador19@exemplo.com,BR
u20,Jogador 20,jogador20@exemplo.com,FR
u21,Jogador 21,jogador21@exemplo.com,FR
u22,Jogador 22,jogador22@exemplo.com,AR
u23,Jogador 23,jogador23@exemplo.com,FR
u24,Jogador 24,jogador24@exemplo.com,FR
u25,Jogador 25,jogador25@exemplo.com,AR
u26,Jogador 26,jogador26@exemplo.com,AR
u27,Jogador 27,jogador27@exemplo.com,PT
u28,Jogador 28,jogador28@exemplo.com,FR
u29,Jogador 29,jogador29@exemplo.com,ES
u30,Jogador 30,jogador30@exemplo.com,BR
u31,Jogador 31,jogador31@exemplo.com,AR
u32,Jogador 32,jogador32@exemplo.com,FR
u33,Jogador 33,jogador33@exemplo.com,ES
u34,Jogador 34,jogador34@exemplo.com,BR
u35,Jogador 35,jogador35@exemplo.com,FR
u36,Jogador 36,jogador36@exemplo.com,ES
u37,Jogador 37,jogador37@exemplo.com,BR
u38,Jogador 38,jogador38@exemplo.com,ES
u39,Jogador 39,jogador39@exemplo.com,AR
u40,Jogador 40,jogador40@exemplo.com,FR
u41,Jogador 41,jogador41@exemplo.com,ES
u42,Jogador 42,jogador42@exemplo.com,ES
u43,Jogador 43,jogador43@exemplo.com,FR
u44,Jogador 44,jogador44@exemplo.com,BR
u45,Jogador 45,jogador45@exemplo.com,FR
u46,Jogador 46,jogador46@exemplo.com,ES
u47,Jogador 47,jogador47@exemplo.com,PT
u48,Jogador 48,jogador48@exemplo.com,BR
u49,Jogador 49,jogador49@exemplo.com,ES
u50,Jogador 50,jogador50@exemplo.com,PT
u51,Jogador 51,jogador51@exemplo.com,BR
u52,Jogador 52,jogador52@exemplo.com,AR
u53,Jogador 53,jogador53@exemplo.com,FR
u54,Jogador 54,jogador54@exemplo.com,BR
u55,Jogador 55,jogador55@exemplo.com,BR
u56,Jogador 56,jogador56@exemplo.com,ES
u57,Jogador 57,jogador57@exemplo.com,PT
u58,Jogador 58,jogador58@exemplo.com,BR
u59,Jogador 59,jogador59@exemplo.com,FR
u60,Jogador 60,jogador60@exemplo.com,BR
u61,Jogador 61,jogador61@exemplo.com,BR
u62,Jogador 62,jogador62@exemplo.com,ES
u63,Jogador 63,jogador63@exemplo.com,BR
u64,Jogador 64,jogador64@exemplo.com,PT
u65,Jogador 65,jogador65@exemplo.com,ES
u66,Jogador 66,jogador66@exemplo.com,AR
u67,Jogador 67,jogador67@exemplo.com,AR
u68,Jogador 68,jogador68@exemplo.com,ES
u69,Jogador 69,jogador69@exemplo.com,PT
u70,Jogador 70,jogador70@exemplo.com,ES
u71,Jogador 71,jogador71@exemplo.com,ES
u72,Jogador 72,jogador72@exemplo.com,ES
u73,Jogador 73,jogador73@exemplo.com,ES
u74,Jogador 74,jogador74@exemplo.com,BR
u75,Jogador 75,jogador75@exemplo.com,FR
u76,Jogador 76,jogador76@exemplo.com,AR
u77,Jogador 77,jogador77@exemplo.com,PT
u78,Jogador 78,jogador78@exemplo.com,BR
u79,Jogador 79,jogador79@exemplo.com,AR
u80,Jogador 80,jogador80@exemplo.com,FR
u81,Jogador 81,jogador81@exemplo.com,ES
u82,Jogador 82,jogador82@exemplo.com,FR
u83,Jogador 83,jogador83@exemplo.com,AR
u84,Jogador 84,jogador84@exemplo.com,AR
u85,Jogador 85,jogador85@exemplo.com,BR
u86,Jogador 86,jogador86@exemplo.com,BR
u87,Jogador 87,jogador87@exemplo.com,PT
u88,Jogador 88,jogador88@exemplo.com,ES
u89,Jogador 89,jogador89@exemplo.com,FR
u90,Jogador 90,jogador90@exemplo.com,ES
u91,Jogador 91,jogador91@exemplo.com,FR
u92,Jogador 92,jogador92@exemplo.com,ES
u93,Jogador 93,jogador93@exemplo.com,AR
u94,Jogador 94,jogador94@exemplo.com,AR
u95,Jogador 95,jogador95@exemplo.com,ES
u96,Jogador 96,jogador96@exemplo.com,PT
u97,Jogador 97,jogador97@exemplo.com,AR
u98,Jogador 98,jogador98@exemplo.com,PT
u99,Jogador 99,jogador99@exemplo.com,AR
u100,Jogador 100,jogador100@exemplo.com,BR
